feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__rhvrusq156n_owner_vacancy__lag002,0.874608,0.048402,0.821967,0.76123148
q__fgdef_fgdef__lag003,0.984326,0.372856,0.39993,0.76067337
q__bogz1fl593061105q_pension_ts__lag007,0.987461,0.109455,0.659884,0.7596921
m__permit_permit__lag009,0.824451,0.227787,0.69267,0.75887217
q__bogz1fl713061103q_fed_tsy__lag005,0.99373,0.089674,0.671599,0.75650008
q__bogz1fl713061103q_fed_tsy_raw__lag005,0.99373,0.089674,0.671599,0.75650008
q__bogz1fl713061103q_cb_tsy__lag005,0.99373,0.089674,0.671599,0.75650008
q__fbtsaaq027s_dom_fin_sector_tsy__lag002,1.0,0.141142,0.614797,0.75593891
m__houst_houst__lag004,0.840125,0.148718,0.749579,0.75468193
q__ad02rc1q027sbea_gov_netlending__lag001,0.833856,0.521734,0.377635,0.74994385
q__bogz1fl313024000q_tres_oper_cash__lag003,1.0,0.361962,0.387679,0.74964017
m__houst_houst__lag005,0.840125,0.201129,0.689263,0.74804141
q__tgdef_net_gov_sav__lag003,0.984326,0.437201,0.321824,0.7471272
q__bogz1lm343061113q_fed_gov_dcf_retirement_ts__lag005,0.99373,0.103086,0.648505,0.74687809
q__bogz1lm343061113q_fed_gov_dc_retirement_ts__lag005,0.99373,0.103086,0.648505,0.74687809
q__bogz1lm343061113q_fed_ret_tsy_dc__lag005,0.99373,0.103086,0.648505,0.74687809
m__permit_permit__lag010,0.821317,0.225831,0.683193,0.74659607
m__ipfinal_ipfinal__lag009,1.0,0.475268,0.264689,0.73995768
q__tgdef_net_gov_sav__lag004,0.981191,0.387042,0.365925,0.73880457
m__permit_permit__lag006,0.827586,0.155469,0.73708,0.73866145
q__psave_psave__lag004,0.981191,0.379903,0.372165,0.73792252
q__bogz1lm223061143q_state_local_db_retirement_ts__lag008,0.984326,0.162508,0.586916,0.73767755
m__permit_permit__lag002,0.830721,0.138027,0.746422,0.73473041
m__permit_permit__lag004,0.827586,0.140395,0.745664,0.7332908
q__psave_psave__lag003,0.984326,0.447706,0.296531,0.73257124
q__ad02rc1q027sbea_gov_netlending__lag002,0.830721,0.508543,0.373041,0.73235035
q__bogz1lm403061105q_gses_ts__lag008,0.984326,0.001927,0.740151,0.73044721
q__bogz1lm403061105q_gse_tsy__lag008,0.984326,0.001927,0.740151,0.73044721
m__permit_permit__lag012,0.821317,0.243064,0.642951,0.72769863
q__bogz1fa713061103q_cb_tsy_tx__lag002,0.990596,0.500689,0.233145,0.72693232
m__ipfinal_ipfinal__lag010,1.0,0.342297,0.382262,0.72455872
q__bogz1fl713123030q_tga__lag003,1.0,0.335015,0.389027,0.72404208
q__bogz1fl713123030q_tga_z1__lag003,1.0,0.335015,0.389027,0.72404208
m__houst_houst__lag008,0.836991,0.229647,0.634847,0.72357336
m__civpart_civpart__lag007,0.974922,0.178876,0.563064,0.72333299
q__na000283q_gov_current_exp__lag002,0.987461,0.249462,0.482878,0.72315664
m__houst_houst__lag010,0.833856,0.232797,0.634395,0.72311338
q__fgexpnd_fgexpnd__lag002,0.987461,0.24787,0.482083,0.72079928
q__rrvrusq156n_rental_vacancy__lag003,0.871473,0.011078,0.812423,0.71765927
