job_id,k_screened,factor_id,rank,feature_id,loading,explained_eigenvalue
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,10,m__ipcongd_ipcongd__lag003,0.008067,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,11,m__ipcongd_ipcongd__lag005,0.008063,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f2,12,m__ipcongd_ipcongd__lag007,0.008058,35.997778
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,1,m__unrate_unrate__lag006,0.011726,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,2,m__unrate_unrate__lag005,0.011658,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,3,m__unrate_unrate__lag004,0.011642,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,4,m__unrate_unrate__lag003,0.011339,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,5,m__unrate_unrate__lag002,0.011252,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,6,m__unrate_unrate__lag001,0.011205,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,7,m__unrate_unrate__lag007,0.011101,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,8,m__unrate_unrate__lag008,0.010984,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,9,m__unrate_unrate__lag009,0.010888,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,10,m__awotman_awotman__lag009,-0.009587,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,11,m__awotman_awotman__lag008,-0.009475,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f3,12,m__awotman_awotman__lag007,-0.00938,12.774353
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,1,q__bogz1fl713123030q_tga__lag002,0.013206,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,2,q__bogz1fl713123030q_tga_z1__lag002,0.013206,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,3,q__bogz1fl713123030q_tga__lag001,0.012888,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,4,q__bogz1fl713123030q_tga_z1__lag001,0.012888,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,5,q__bogz1fl313024000q_tres_oper_cash__lag002,0.012151,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,6,q__bogz1fl313024000q_tres_oper_cash__lag001,0.011951,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,7,m__baaffm_baaff__lag002,-0.011493,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,8,m__baaffm_baaff__lag001,-0.011298,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,9,m__unrate_unrate__lag001,-0.010755,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,10,m__unrate_unrate__lag002,-0.010496,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,11,m__unrate_unrate__lag004,-0.010338,8.270984
baseline_tdc_lp_credit_spreads,200,dflmx_k200_f4,12,q__bogz1lm403061105q_gses_ts__lag002,0.010044,8.270984
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,1,d__dgs5_dgs5__lag044,-0.003774,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,2,d__dgs5_dgs5__lag043,-0.003774,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,3,d__dgs5_dgs5__lag046,-0.003774,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,4,d__dgs5_dgs5__lag047,-0.003774,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,5,d__dgs5_dgs5__lag048,-0.003773,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,6,d__dgs5_dgs5__lag045,-0.003773,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,7,d__dgs5_dgs5__lag050,-0.003772,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,8,d__dgs5_dgs5__lag039,-0.003772,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,9,d__dgs5_dgs5__lag052,-0.003772,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,10,d__dgs5_dgs5__lag049,-0.003772,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,11,d__dgs5_dgs5__lag041,-0.003772,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f1,12,d__dgs5_dgs5__lag042,-0.003772,218.306216
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,1,m__ipncongd_ipncongd__lag002,0.007904,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,2,m__ipncongd_ipncongd__lag003,0.007899,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,3,m__ipncongd_ipncongd__lag004,0.00788,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,4,m__ipncongd_ipncongd__lag005,0.007877,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,5,m__ipncongd_ipncongd__lag006,0.007871,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,6,m__ipncongd_ipncongd__lag008,0.00784,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,7,m__ipncongd_ipncongd__lag009,0.007832,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,8,m__ipncongd_ipncongd__lag010,0.007797,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,9,m__ipncongd_ipncongd__lag012,0.007787,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,10,m__ipcongd_ipcongd__lag002,0.007753,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,11,m__ipcongd_ipcongd__lag004,0.007751,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f2,12,m__ipcongd_ipcongd__lag001,0.00775,42.486001
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,1,m__unrate_unrate__lag006,0.011289,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,2,m__unrate_unrate__lag005,0.011225,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,3,m__unrate_unrate__lag004,0.011218,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,4,m__unrate_unrate__lag003,0.010934,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,5,m__unrate_unrate__lag002,0.010855,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,6,m__unrate_unrate__lag001,0.010813,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,7,m__unrate_unrate__lag007,0.010749,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,8,m__unrate_unrate__lag008,0.010644,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,9,m__unrate_unrate__lag009,0.010572,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,10,m__awotman_awotman__lag009,-0.009261,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,11,m__awotman_awotman__lag008,-0.009148,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f3,12,m__awotman_awotman__lag010,-0.009122,13.628237
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,1,q__bogz1fl713123030q_tga__lag002,0.012679,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,2,q__bogz1fl713123030q_tga_z1__lag002,0.012679,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,3,q__bogz1fl713123030q_tga__lag001,0.012377,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,4,q__bogz1fl713123030q_tga_z1__lag001,0.012377,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,5,q__bogz1fl313024000q_tres_oper_cash__lag002,0.011598,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,6,q__bogz1fl313024000q_tres_oper_cash__lag001,0.011389,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,7,m__baaffm_baaff__lag002,-0.011102,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,8,m__baaffm_baaff__lag001,-0.010891,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,9,m__unrate_unrate__lag001,-0.010223,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,10,m__unrate_unrate__lag002,-0.009946,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,11,m__unrate_unrate__lag004,-0.00979,9.06377
baseline_tdc_lp_credit_spreads,300,dflmx_k300_f4,12,q__bogz1lm403061105q_gses_ts__lag002,0.009593,9.06377
