feature_id,base_series,frequency,lag,source_file,nonmissing_quarters,coverage_share
d__aaa10y_aaa10y__lag022,aaa10y_aaa10y,d,22,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag023,aaa10y_aaa10y,d,23,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag024,aaa10y_aaa10y,d,24,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag025,aaa10y_aaa10y,d,25,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag026,aaa10y_aaa10y,d,26,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag027,aaa10y_aaa10y,d,27,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag028,aaa10y_aaa10y,d,28,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag029,aaa10y_aaa10y,d,29,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag030,aaa10y_aaa10y,d,30,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag031,aaa10y_aaa10y,d,31,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag032,aaa10y_aaa10y,d,32,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag033,aaa10y_aaa10y,d,33,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag034,aaa10y_aaa10y,d,34,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag035,aaa10y_aaa10y,d,35,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag036,aaa10y_aaa10y,d,36,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag037,aaa10y_aaa10y,d,37,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag038,aaa10y_aaa10y,d,38,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag039,aaa10y_aaa10y,d,39,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag040,aaa10y_aaa10y,d,40,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag041,aaa10y_aaa10y,d,41,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag042,aaa10y_aaa10y,d,42,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag043,aaa10y_aaa10y,d,43,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag044,aaa10y_aaa10y,d,44,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag045,aaa10y_aaa10y,d,45,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag046,aaa10y_aaa10y,d,46,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag047,aaa10y_aaa10y,d,47,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag048,aaa10y_aaa10y,d,48,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag049,aaa10y_aaa10y,d,49,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag050,aaa10y_aaa10y,d,50,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag051,aaa10y_aaa10y,d,51,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag052,aaa10y_aaa10y,d,52,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag053,aaa10y_aaa10y,d,53,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag054,aaa10y_aaa10y,d,54,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag055,aaa10y_aaa10y,d,55,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag056,aaa10y_aaa10y,d,56,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag057,aaa10y_aaa10y,d,57,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag058,aaa10y_aaa10y,d,58,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag059,aaa10y_aaa10y,d,59,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag060,aaa10y_aaa10y,d,60,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag061,aaa10y_aaa10y,d,61,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag062,aaa10y_aaa10y,d,62,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag063,aaa10y_aaa10y,d,63,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag064,aaa10y_aaa10y,d,64,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag065,aaa10y_aaa10y,d,65,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag066,aaa10y_aaa10y,d,66,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag067,aaa10y_aaa10y,d,67,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag068,aaa10y_aaa10y,d,68,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag069,aaa10y_aaa10y,d,69,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag070,aaa10y_aaa10y,d,70,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag071,aaa10y_aaa10y,d,71,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag072,aaa10y_aaa10y,d,72,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag073,aaa10y_aaa10y,d,73,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag074,aaa10y_aaa10y,d,74,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag075,aaa10y_aaa10y,d,75,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag076,aaa10y_aaa10y,d,76,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag077,aaa10y_aaa10y,d,77,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag078,aaa10y_aaa10y,d,78,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag079,aaa10y_aaa10y,d,79,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag080,aaa10y_aaa10y,d,80,FRED_AAA10Y_AAA10Y.csv,173,0.54232
